O_code,D_code,car_time,bus_time,ship_time,rail_time,air_time,car_cost,bus_cost,ship_cost,rail_cost,air_cost
6,34,916.3344,1062.8,-,516.8,362.3,23640,18450,-,27450,56200
6,35,1021.1396,1226.9,-,577.2,397.2,26290,17070,-,30290,56600
6,36,771.27,885.5,-,617,341,22080,16700,-,27840,53800
6,37,810.5446,927.5,-,541.8,338.3,23410,17400,-,26290,54070
6,38,918.413,1040.6,-,656,328,26700,20000,-,28930,56250
6,39,899.0492,1040.6,-,658.3,372.3,25960,19450,-,28530,56380
6,40,1147.1684,1309.9,-,584.5,319.8,30160,19700,-,31050,58740
6,41,1206.5726,1538,-,642.4,402.4,30910,24660,-,32850,52080
6,42,1263.6794,1360.4,-,725.2,379,33050,24700,-,34580,66480
6,43,1244.972,1401.1,-,668.1,408.1,31970,18930,-,35080,55180
6,44,1197.6018,1469.2,-,665.4,388.4,31330,23610,-,33650,58930
6,45,1373.0794,1616.5,-,863.4,341.2,35730,26440,-,41300,63410
6,46,1384.457,1614.6,-,715.1,404.1,35880,25870,-,38750,68200
6,47,-,-,-,-,389,-,-,-,-,45420
6,48,1088.5266,1557,-,880.5,394.9,23490,20970,-,24770,55700
6,49,859.99,1118.8,1060.1,644.9,322.4,16530,15200,15440,19600,33350
6,50,576.5346,689.8,-,409.2,347.7,11970,10170,-,15580,47770
7,1,979.0172,1216.2,-,665.7,338.7,23030,19070,-,23750,40660
7,2,381.6966,430.1,-,213,410,10060,7100,-,12820,62740
7,3,232.1468,294,-,124.8,349.6,6210,4080,-,8950,67030
7,4,90.9114,123.8,-,60.9,-,2110,1300,-,3880,-
7,5,287.6126,415.8,-,223.2,332.1,7760,5810,-,12330,65960
7,6,97.8036,182.4,-,115.3,-,2580,2030,-,3190,-
7,7,0,-,-,-,-,0,-,-,-,-
7,8,195.9354,551.3,-,209.1,-,5230,7830,-,7540,-
7,9,156.0044,437.4,-,85.1,-,4210,5610,-,6130,-
7,10,226.7862,516.4,-,201,354.1,6480,6600,-,11970,26320
7,11,235.8664,347.3,-,122.1,278.1,6970,4380,-,8420,22990
7,12,296.8022,410.2,-,191.7,254.7,8240,6590,-,9800,23470
7,13,253.0422,383.7,-,161.7,253.2,7790,6020,-,8920,22990
7,14,282.3614,401.6,-,177.6,247.8,8460,6470,-,9600,22990
7,15,169.57,279.4,-,260.3,-,4700,3950,-,17480,-
7,16,371.413,495.6,-,259.7,419.7,9980,7870,-,19840,35300
7,17,412.0004,544.4,-,297.3,349.3,11300,8470,-,20560,34050
7,18,478.7344,661.8,-,344.8,293.8,13140,9790,-,21890,36710
7,19,361.6764,544.6,-,268.4,426.2,9770,7050,-,11700,75100
7,20,335.7486,467.1,-,204,419.1,8510,7050,-,14120,74640
7,21,541.0924,744.3,-,289.3,320.3,14470,12360,-,18860,34600
7,22,412.8756,584.6,-,225.5,413.1,12220,8680,-,14540,80060
7,23,523.3696,718.9,-,259.9,288.9,15160,12020,-,18840,34170
7,24,598.965,775.8,-,327.8,356.8,17150,12790,-,20550,35900
7,25,613.9528,708.6,-,302.6,324.6,16740,12750,-,20890,36540
7,26,633.2072,705.2,-,299.2,322.2,15570,12810,-,20960,36030
7,27,650.8206,757.6,-,327.6,263.6,20270,13330,-,21410,38460
7,28,682.4372,779.1,-,329.6,276.8,20790,13560,-,21560,38560
7,29,649.1796,742.1,-,336.2,327.3,17270,13170,-,21320,36630
7,30,713.6162,834.9,-,403.9,321.9,21410,14200,-,22170,29320
7,31,751.7968,946,-,465.5,331.5,18390,16550,-,25510,40990
7,32,858.79,1075.6,-,547.9,345.9,23090,17050,-,26220,43060
7,33,783.304,954.1,-,372.1,445.1,21230,16250,-,23800,46670
7,34,900.0338,1063.5,-,422,332.5,25370,18300,-,25600,48300
7,35,1004.839,1191,-,482.4,386.4,28020,16150,-,28230,46070
7,36,754.9694,886.2,-,522.2,350.2,23890,16750,-,25990,43360
7,37,794.1346,928.2,-,447,347.5,25210,17500,-,24230,43630
7,38,902.1124,1041.3,-,561.2,352.2,28510,19750,-,27080,46090
7,39,882.7486,1041.3,-,563.5,381.5,27760,19000,-,26680,45940
7,40,1130.8678,1277,-,489.7,270,31890,18250,-,29310,52320
7,41,1190.1626,1538.7,-,547.6,331.6,32650,24510,-,31110,54760
7,42,1247.3788,1361.2,-,630.4,373.2,34790,24550,-,32730,33530
7,43,1228.6714,1378.8,-,573.3,361.3,33700,18780,-,33230,57620
7,44,1181.1918,1433,-,570.6,382.6,33060,24130,-,31590,44780
7,45,1356.7788,1615.3,-,768.6,345.4,37460,26670,-,39450,44560
7,46,1368.1564,1615.3,-,620.3,403.3,37610,25720,-,37010,34050
7,47,-,-,-,-,364.2,-,-,-,-,61320
7,48,1113.6886,1499.1,-,803.1,346.1,23780,22780,-,25300,58000
7,49,885.152,1060.9,-,567.6,251.6,16820,17010,-,20460,36030
7,50,601.6966,636.8,-,331.9,351.9,12260,12200,-,16430,51460
8,1,1119.3774,1978.8,-,841.5,350.5,27300,25430,-,29830,40040
8,2,522.0568,872.6,-,388.9,322.9,14330,9580,-,19660,39020
8,3,372.507,722.5,-,300.6,342.6,10490,8580,-,17490,51260
8,4,236.6322,609.3,-,248.4,268.3,6340,5380,-,9810,22270
8,5,427.9728,788.2,-,399,336,11980,12000,-,20110,33050
